rule_schema_version,field_path,field_group,source_aliases,priority_grade,allowed_range,correction_priority,replacement_priority,exclusion_priority,raw_preservation,normalized_output,generated_flags,notes
prerace-entry-preprocessing-rules-v1,horses[].chul_no,core_card,chulNo|chul_no|horse_no,P0,int >= 1 and unique within race,alias_pick > trim > int_cast,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,int,chul_no_duplicate|core_missing,출전번호는 운영 snapshot 승격의 최우선 검증 필드
prerace-entry-preprocessing-rules-v1,horses[].hr_no,core_card,hrNo|hr_no,P0,non-empty string identifier,alias_pick > trim > string_cast > strip_decimal_suffix,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing|id_normalized,선행 0 보존을 위해 canonical 단계에서 문자열 고정
prerace-entry-preprocessing-rules-v1,horses[].hr_name,core_card,hrName|hr_name|horse_name,P0,non-empty string,alias_pick > trim > string_cast,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing,빈 문자열은 허용하지 않음
prerace-entry-preprocessing-rules-v1,horses[].jk_no,core_card,jkNo|jk_no,P0,non-empty string identifier,alias_pick > trim > string_cast > strip_decimal_suffix,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing|id_normalized,기수 조인키는 문자열 기준으로 통일
prerace-entry-preprocessing-rules-v1,horses[].jk_name,core_card,jkName|jk_name,P0,non-empty string,alias_pick > trim > string_cast,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing,빈 문자열은 허용하지 않음
prerace-entry-preprocessing-rules-v1,horses[].tr_no,core_card,trNo|tr_no,P0,non-empty string identifier,alias_pick > trim > string_cast > strip_decimal_suffix,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing|id_normalized,조교사 조인키는 문자열 기준으로 통일
prerace-entry-preprocessing-rules-v1,horses[].tr_name,core_card,trName|tr_name,P0,non-empty string,alias_pick > trim > string_cast,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing,빈 문자열은 허용하지 않음
prerace-entry-preprocessing-rules-v1,horses[].ow_no,core_card,owNo|ow_no,P0,non-empty string identifier,alias_pick > trim > string_cast > strip_decimal_suffix,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing|id_normalized,마주 번호도 문자열로 정규화
prerace-entry-preprocessing-rules-v1,horses[].ow_name,core_card,owName|ow_name,P0,non-empty string,alias_pick > trim > string_cast,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing,빈 문자열은 허용하지 않음
prerace-entry-preprocessing-rules-v1,horses[].age,core_card,age,P0,int >= 1,alias_pick > trim > int_cast,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,int,core_missing|age_invalid,0 이하 나이는 hard fail
prerace-entry-preprocessing-rules-v1,horses[].sex,core_card,sex|gender,P0,non-empty string and feature recode to 수|암|거|기타,alias_pick > trim > string_cast > recode_to_bucket,unknown_bucket_only > sex_missing_flag,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing|sex_bucketed,영문 코드와 한글 코드를 모두 수용
prerace-entry-preprocessing-rules-v1,horses[].name,core_card,name|country,P0,non-empty string,alias_pick > trim > string_cast,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing,산지 또는 국적 원문을 그대로 보존
prerace-entry-preprocessing-rules-v1,horses[].rank,core_card,rank|class_rank,P0,non-empty string,alias_pick > trim > string_cast,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,string,core_missing,저장은 rank 원문 기준
prerace-entry-preprocessing-rules-v1,horses[].rating,core_card,rating,P1,int in [0,140] or None,alias_pick > trim > int_cast,parse_fail_to_none > zero_kept_with_rating_known_false > outlier_to_none,field_null_only > keep_entry,keep_raw_and_normalized,int_or_none,rating_known_false|rating_parse_failed|rating_outlier,0은 결측이 아니라 미상 레이팅 가능성으로 취급하고 140 초과는 이상치로 null 처리
prerace-entry-preprocessing-rules-v1,horses[].wg_budam,core_card,wgBudam|wg_budam|burden_weight,P0,float in [40,65],alias_pick > trim > float_cast,none,entry_drop_from_operational_snapshot > race_quarantine > raw_store_only,keep_raw_and_normalized,float,core_missing|wg_budam_invalid|wg_budam_outlier,전 KRA 샘플 분포(50~60kg) 대비 여유 범위를 주되 범위 이탈은 운영 snapshot 에서 제외
prerace-entry-preprocessing-rules-v1,horses[].wg_budam_bigo,core_card,wgBudamBigo|wg_budam_bigo,P1,string or None,alias_pick > trim > string_cast,dash_to_none > has_budam_note_false,field_null_only > keep_entry,keep_raw_and_normalized,string_or_none,budam_note_missing,대시 sentinel 은 raw 에 남기고 feature 는 None 처리
prerace-entry-preprocessing-rules-v1,horses[].wg_hr,core_card,wgHr|wg_hr,P1,preferred pattern digits(+/-digits) and raw non-empty string tolerated,alias_pick > trim > canonical_pattern_match > first_number_parse,dash_to_none > parse_fail_to_raw_only > derived_null,field_null_only > keep_entry,keep_raw_and_parsed,string_plus_derived,weight_missing|wg_hr_parse_failed,복합 문자열은 raw 와 파생치를 분리 보존
prerace-entry-preprocessing-rules-v1,horses[].win_odds,core_card,winOdds|win_odds,P1,float in (0,300] or None,alias_pick > trim > float_cast,zero_to_none > parse_fail_to_none > outlier_to_none > market_signal_missing,never_drop_entry > field_null_only,keep_raw_and_normalized,float_or_none,market_signal_missing|odds_parse_failed|win_odds_outlier|popularity_unusable,0/파싱 실패/300 초과는 인기도 파생 불가로 보고 출전마는 유지하되 값은 null 처리
prerace-entry-preprocessing-rules-v1,horses[].plc_odds,core_card,plcOdds|plc_odds,P1,float in (0,100] or None,alias_pick > trim > float_cast,zero_to_none > parse_fail_to_none > outlier_to_none > market_signal_missing,never_drop_entry > field_null_only,keep_raw_and_normalized,float_or_none,market_signal_missing|odds_parse_failed|plc_odds_outlier,0/파싱 실패/100 초과는 연승 계열 시장 신호 결측으로 처리
prerace-entry-preprocessing-rules-v1,horses[].ilsu,optional_card,ilsu,P2,int >= 0 or None,alias_pick > trim > int_cast,parse_fail_to_none > missing_flag,field_null_only > keep_entry,keep_raw_and_normalized,int_or_none,ilsu_missing|ilsu_parse_failed,보조 피처이므로 soft fail
prerace-entry-preprocessing-rules-v1,horses[].hr_tool,optional_card,hrTool|hr_tool,P2,string or None,alias_pick > trim > string_cast,blank_to_none > missing_flag,field_null_only > keep_entry,keep_raw_and_normalized,string_or_none,hr_tool_missing,공백 문자열은 None 으로 수렴
prerace-entry-preprocessing-rules-v1,horses[].weight,derived,wg_hr derived,P1,int in [200,650] or None,regex_extract_leading_digits > int_cast,parse_fail_to_none > outlier_to_none > weight_missing,field_null_only > keep_entry,parsed_only_with_raw_link,int_or_none,weight_missing|wg_hr_parse_failed|weight_outlier,서울/부경/제주 전체를 커버하도록 보수적 하한/상한을 둔다
prerace-entry-preprocessing-rules-v1,horses[].weight_delta,derived,wg_hr derived,P1,int in [-40,40] or None,regex_extract_signed_delta > int_cast,missing_parenthesis_to_none > parse_fail_to_none > outlier_to_none > weight_delta_missing,field_null_only > keep_entry,parsed_only_with_raw_link,int_or_none,weight_delta_missing|weight_delta_parse_failed|weight_delta_outlier,wg_hr 괄호 내부 증감만 파생하며 범위 이탈은 null 처리
prerace-entry-preprocessing-rules-v1,horses[].country,derived,name derived,P2,non-empty string or None,copy_name > trim,missing_name_to_none > country_missing,field_null_only > keep_entry,parsed_only_with_raw_link,string_or_none,country_missing,name 의 하위 호환 alias
prerace-entry-preprocessing-rules-v1,horses[].hrDetail,detail_block,API8_2 joined block,P2,dict or empty dict,ensure_dict > join_key_check,missing_to_empty_dict > detail_missing_flag,never_drop_entry > keep_empty_dict,keep_raw_block,dict,hrdetail_missing|hrdetail_join_mismatch,hrNo 와 hrName mismatch 는 warning only
prerace-entry-preprocessing-rules-v1,horses[].jkDetail,detail_block,API12_1 joined block,P2,dict or empty dict,ensure_dict > date_normalize > join_key_check,missing_to_empty_dict > detail_missing_flag,never_drop_entry > keep_empty_dict,keep_raw_block,dict,jkdetail_missing|jkdetail_join_mismatch,spDate sentinel 은 None 처리
prerace-entry-preprocessing-rules-v1,horses[].trDetail,detail_block,API19_1 joined block,P2,dict or empty dict,ensure_dict > sentinel_to_none > join_key_check,missing_to_empty_dict > detail_missing_flag,never_drop_entry > keep_empty_dict,keep_raw_block,dict,trdetail_missing|trdetail_join_mismatch,age 와 birthday sentinel 은 None 처리
prerace-entry-preprocessing-rules-v1,horses[].jkStats,detail_block,API11_1 joined block,P2,dict or empty dict,ensure_dict > numeric_nonnegative_cast,missing_to_empty_dict > detail_missing_flag,never_drop_entry > keep_empty_dict,keep_raw_block,dict,jkstats_missing|jkstats_parse_failed,count 와 rate 는 0 이상 값만 허용
prerace-entry-preprocessing-rules-v1,horses[].owDetail,detail_block,API14_1 joined block,P2,dict or empty dict,ensure_dict > owner_id_string_cast,missing_to_empty_dict > detail_missing_flag,never_drop_entry > keep_empty_dict,keep_raw_block,dict,owdetail_missing|owdetail_join_mismatch,owner id 는 문자열 기준으로 통일
prerace-entry-preprocessing-rules-v1,horses[].training,detail_block,API329 joined block,P2,dict or empty dict,ensure_dict > hr_name_match_check,missing_to_empty_dict > training_missing_flag,never_drop_entry > keep_empty_dict,keep_raw_block,dict,training_missing|training_unmatched,이름 매칭 실패는 soft fail 이며 예측은 계속 생성
